Matricule	#1		#2		#3		#4		Note (/10)
?074801		0.75		1.0		3.0		5.0		9.75
?035275		0.75		0.75		1.95		5.0		8.45
?007803		0.5		0.75		2.6		5.0		8.85
?031180		0.75		1.0		3.0		5.0		9.75
?062976		0.0		0.0		2.0		5.0		7.0
?081857		0.65		0.25		1.5		4.0		6.4
?085764		0.75		1.0		2.25		4.0		8.0
?101338		0.75		1.0		3.0		5.0		9.75
?052923		0.75		1.0		2.9		5.0		9.65
?835945		0.75		1.0		2.75		5.0		9.5
?065143		0.75		1.0		3.0		5.0		9.75
?116135		0.75		1.0		3.0		1.5		6.25
?064947		0.75		0.25		1.75		4.0		6.75
?205936		0.0		0.0		0.0		5.0		5.0
?053307		1.0		1.0		1.25		5.0		8.25
?107234		1.0		1.0		3.0		5.0		10.0
?098086		1.0		1.0		3.0		5.0		10.0
?075447		1.0		1.0		3.0		5.0		10.0
Moyenne:	0.7027		0.7777		2.3861		4.6388		8.5055
