Matricule	#1		#2		#3		Note (/10)
?085764		2.0		2.0		6.0		10.0
?065143		2.0		1.5		6.0		9.5
?107234		2.0		2.0		5.5		9.5
?205936		2.0		2.0		0.0		4.0
?064947		2.0		2.0		6.0		10.0
?116135		0.0		0.0		0.0		0.0
?062976		0.0		1.5		6.0		7.5
?101338		1.0		2.0		6.0		9.0
?007803		2.0		1.5		6.0		9.5
?035275		0.0		0.0		6.0		6.0
?031180		0.5		2.0		6.0		8.5
?835945		2.0		1.5		6.0		9.5
?074801		2.0		2.0		4.8		8.8
?052923		0.0		0.0		6.0		6.0
?053307		2.0		1.5		6.0		9.5
?075447		2.0		1.75		6.0		9.75
?081857		0.0		1.5		6.0		7.5
?098086		2.0		2.0		6.0		10.0
Moyenne:	1.3055		1.4861		5.2388		8.0305
