Matricule	#1	#2	#3	#4	#5	Note (/5)
?035275		0.0	1.0	1.0	1.0	0.0	3.0
?101338		1.0	1.0	1.0	1.0	1.0	5.0
?053307		1.0	0.0	1.0	1.0	1.0	4.0
?116135		0.0	0.0	1.0	0.0	1.0	2.0
?107234		1.0	1.0	1.0	1.0	1.0	5.0
?835945		0.0	0.0	1.0	0.0	1.0	2.0
?075447		1.0	1.0	1.0	1.0	0.0	4.0
?062976		0.0	0.0	1.0	1.0	0.0	2.0
?085764		0.0	0.0	0.0	0.0	0.0	0.0
?081857		0.0	1.0	0.0	1.0	1.0	3.0
?074801		1.0	0.0	1.0	1.0	1.0	4.0
?052923		1.0	0.0	0.0	0.0	0.0	1.0
?065143		1.0	1.0	1.0	0.0	1.0	4.0
?031180		1.0	0.0	1.0	1.0	1.0	4.0
?064947		0.0	1.0	0.0	0.0	0.0	1.0
?098086		0.0	1.0	1.0	1.0	1.0	4.0
?205936		0.0	0.0	0.0	0.0	0.0	0.0
?007803		1.0	0.0	1.0	0.0	1.0	3.0
Moyenne:	0.50	0.44	0.72	0.56	0.61	2.83
