Matricule	#1		#2		#3		#4		#5		Note (/10)
?089027		2.0		4.0		4.0		nan		nan		10.0
?019854		2.0		4.0		4.0		nan		nan		10.0
?120382		2.0		4.0		4.0		2.5		1.0		9.0
?695839		2.0		4.0		4.0		nan		nan		10.0
?080362		2.0		4.0		4.0		2.5		0.0		8.3333
?117465		2.0		4.0		4.0		nan		nan		10.0
?070643		1.75		4.0		4.0		nan		nan		9.75
?143908		0.0		4.0		4.0		nan		nan		8.0
?071802		2.0		4.0		4.0		nan		nan		10.0
?109837		1.5		4.0		4.0		2.5		2.0		9.3333
?093613		1.5		4.0		4.0		nan		nan		9.5
?041348		1.5		4.0		4.0		2.5		2.0		9.3333
Moyenne:	1.6875		4.0		4.0		2.5		1.25		9.4375
