Matricule	#1	#2	#3	#4	#5	#6	#7	Note (/40)
?089027		5.0	3.5	2.6	4.0	3.75	2.75	2.5	24.1
?080362		3.25	2.9	1.4	2.5	4.75	2.0	3.0	19.8
?120382		3.75	2.65	0.75	4.4	4.5	3.0	3.0	22.05
?093613		4.4	3.2	1.5	4.4	5.0	3.75	3.5	25.75
?695839		4.75	3.4	0.75	3.5	4.25	3.25	3.0	22.9
?041348		4.5	1.65	2.0	4.0	2.25	2.65	1.0	18.05
?019854		4.0	2.9	2.25	4.65	4.5	3.0	2.25	23.55
?070643		3.4	1.9	1.4	2.75	4.0	2.25	0.5	16.2
?143908		2.0	1.05	0.5	3.25	2.5	3.5	2.6	15.4
?109837		4.75	2.95	0.9	4.4	4.75	2.65	2.0	22.4
?071802		5.0	3.7	3.0	4.5	5.0	4.0	4.0	29.2
?117465		4.75	3.5	2.75	4.0	4.25	3.25	2.75	25.25
Moyenne:	4.13	2.77	1.65	3.86	4.12	3.00	2.51	22.05
