Matricule	Taquin		Tic-tac-toe	Connect-4	Note (/10)
?096745		3.0		2.0		1.0		7.0
?201319		5.0		5.0		0.0		10.0
?101143		5.0		5.0		0.5		11.5
?164298		3.0		5.0		2.0		11.0
?125680		5.0		5.0		0.0		11.0
?116135		5.0		5.0		0.0		11.0
?134552		4.0		5.0		0.0		10.0
?107216		5.0		5.0		2.0		12.0
?083624		5.0		5.0		0.0		11.0
?085356		5.0		5.0		2.0		13.0
?093515		4.0		5.0		0.0		10.0
?099966		2.0		2.0		0.0		5.0
?017475		5.0		5.0		2.0		13.0
?121229		5.0		5.0		0.0		11.0
?021923		5.0		4.0		1.0		11.0
?098690		5.0		5.0		0.0		11.0
?110676		5.0		5.0		0.0		11.0
?642619		5.0		5.0		2.0		13.0
?163912		5.0		5.0		1.0		12.0
?102202		5.0		5.0		2.0		13.0
Moyenne:	4.55		4.65		0.775		10.875
