Matricule	Correcteur	Serpents/Echelles	Note (/10)
?116135		5.0		1.0			6.0
?121229		5.0		5.0			10.0
?201319		5.0		0.0			5.0
?163912		5.0		5.0			10.0
?021923		0.0		5.0			5.0
?083624		5.0		5.0			10.0
?093515		5.0		5.0			10.0
?642619		5.0		5.0			10.0
?085356		5.0		5.0			10.0
?101143		5.0		5.0			10.0
?164298		5.0		5.0			10.0
?102202		5.0		5.0			10.0
?125680		2.0		5.0			3.5
?107216		5.0		5.0			10.0
?134552		5.0		5.0			10.0
?099966		4.5		5.0			9.5
?096745		5.0		5.0			10.0
?017475		5.0		5.0			10.0
?110676		0.0		5.0			5.0
?098690		5.0		5.0			10.0
Moyenne:	4.325		4.55			8.7
