Matricule	Neurones	Pourriels	Note (/10)
?085356		5.0		5.0		10.0
?201319		0.0		0.0		0.0
?102202		5.0		5.0		10.0
?107216		4.0		5.0		9.0
?101143		5.0		5.0		10.0
?164298		5.0		5.0		10.0
?083624		4.0		5.0		9.0
?125680		5.0		4.0		9.0
?099966		4.0		5.0		9.0
?121229		1.5		5.0		6.5
?017475		1.5		5.0		6.5
?110676		0.0		0.0		0.0
?093515		5.0		5.0		10.0
?134552		5.0		5.0		10.0
?642619		5.0		5.0		10.0
?096745		4.0		5.0		9.0
?116135		0.0		5.0		5.0
?163912		5.0		5.0		10.0
?098690		0.0		5.0		5.0
?021923		0.0		5.0		5.0
Moyenne:	3.2		4.45		7.65
