Matricule	#1	#2	#3	#4	#5	Note (/20)
?101143		3.7	5.0	2.1	2.0	3.15	15.95
?085356		2.5	5.0	1.5	3.25	2.65	14.9
?163912		3.4	4.2	1.4	2.25	2.75	14.0
?107216		4.0	5.0	2.2	1.5	3.4	16.1
?017475		3.0	1.8	1.9	1.25	3.25	11.2
?110676		3.4	4.8	1.75	2.0	3.0	14.95
?642619		3.9	5.0	2.95	4.0	4.0	19.85
?125680		2.5	3.1	2.6	0.75	3.0	11.95
?096745		3.25	2.1	1.9	3.0	3.15	13.4
?102202		3.9	5.0	2.7	2.25	3.25	17.1
?121229		4.0	5.0	1.5	3.0	2.5	16.0
?093515		0.75	3.1	2.35	1.75	2.75	10.7
?201319		4.0	3.9	2.1	1.25	3.0	14.25
?083624		3.2	3.3	1.75	2.25	3.0	13.5
?164298		3.9	3.6	2.4	2.0	3.0	14.9
?134552		0.25	4.3	2.0	1.25	3.0	10.8
?098690		3.75	2.5	2.6	3.25	4.0	16.1
?021923		3.5	4.8	1.5	2.0	2.65	14.45
?099966		3.9	3.8	1.75	2.5	4.0	15.95
?116135		3.75	4.8	0.0	1.5	2.0	12.05
Moyenne:	3.2275	4.005	1.9475	2.15	3.075	14.405
