Matricule	Logique	Sudoku	Note (/10)
?180895		3.9	5.0	8.9
?031180		3.0	5.0	8.0
?081644		5.0	5.0	10.0
?057955		5.0	5.0	10.0
?116017		4.0	5.0	9.0
?133651		0.0	5.0	5.0
?123997		4.1	5.0	9.1
?044043		3.9	5.0	8.9
?075971		5.0	5.0	10.0
?068355		3.2	5.0	8.2
?095659		3.8	5.0	8.8
?007803		3.1	5.0	8.1
?262609		4.1	4.5	8.6
?053980		3.5	2.0	5.5
?041348		4.3	3.5	7.8
?062976		4.0	5.0	9.0
?101338		4.0	5.0	9.0
?835945		2.5	5.0	7.5
?143908		3.7	5.0	8.7
?664060		0.0	0.5	0.5
?053307		4.8	5.0	9.8
?076079		3.1	5.0	8.1
?038112		4.1	5.0	9.1
?079646		3.3	5.0	8.3
?201319		0.0	0.0	0.0
?109837		4.6	4.0	8.6
?065143		3.3	5.0	8.3
Moyenne:	3.4555	4.4259	7.8814
