Matricule	Devoir 3	Code		Rapport		Explication (code)
14161836	16.1   		10		6.1		
14174074	17.05  		10		7.05		
14148950	17.9   		10		7.9		
10107234	17.6   		10		7.6		
06879023	0      		0		0		
14077535	17.65  		10		7.65		
13168332	17.5   		10		7.5		
14148996	20     		10		10		
14172183	16.7   		10		6.7		
14166779	16.1   		10		6.1		
14151179	17.95  		10		7.95		
12089027	17.15  		10		7.15		
14171497	17.2   		10		7.2		
10085891	17.55  		10		7.55		
07130268	17.7   		10		7.7		
14161916	15.6   		10		5.6		
10078694	16.8   		10		6.8		
14172192	17.45  		10		7.45		
14172218	17     		10		7		
14029286	16.5   		10		6.5		
14126947	15     		9.5		5.5		Utilise des échantillons pour h dans les updates, plutôt que les probabilités [-0.5]
14172227	15.65  		10		5.65		
14080362	0      		0		0		
14127223	14.3   		8		6.3		Couche cachée de l'autoencoder n'est pas calculé à partir du x bruité [-2]
14029810	0      		0		0		
14134493	16.15  		10		6.15		
14172236	15.6   		10		5.6		
14161961	16.6   		10		6.6		
14149003	17.9   		10		7.9		
Moyenne		15.13  		8.88		6.25
