Matricule	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	Total
14161836	1	1	1	1	1	1	1	1	1	1	10
14174074	1	1	1	1	1	1	1	1	1	1	10
14148950	1	1	0	0	1	1	1	1	1	1	8
10107234	1	1	1	1	1	1	1	1	1	1	10
06879023	0	1	0	1	1	0	0	0	0	0	3
14077535	1	1	1	1	1	1	1	1	1	1	10
13168332	1	1	1	1	1	1	1	1	1	1	10
14148996	1	1	1	1	1	1	1	1	1	1	10
14172183	1	1	1	1	1	1	1	1	1	0	9
14166779	1	1	1	1	1	1	1	1	1	1	10
14151179	1	1	1	1	1	0	1	1	1	1	9
12089027	1	1	1	1	1	0	1	1	1	1	9
14171497	1	1	1	1	1	1	1	1	1	1	10
10085891	1	1	1	1	1	1	1	1	1	1	10
07130268	1	1	0	1	1	1	1	1	1	0	8
14161916	1	1	1	1	1	1	0	1	1	1	9
10078694	1	1	1	1	1	1	1	1	1	1	10
14172192	1	1	0	1	1	1	1	1	1	1	9
14172218	1	1	1	1	1	1	1	1	1	1	10
14029286	1	1	1	1	1	1	1	1	1	1	10
14126947	1	1	1	1	1	1	0	0	1	0	7
14172227	1	0	0	0	0	0	0	0	0	0	1
14080362	1	1	0	1	1	0	0	0	0	0	4
14127223	1	1	0	1	1	0	0	1	0	0	5
14029810	0	0	0	0	0	0	0	0	0	0	0
14134493	1	1	0	1	1	1	1	1	1	1	9
14172236	1	0	1	0	1	0	1	1	0	0	5
14161961	1	1	1	1	1	1	1	1	1	1	10
14149003	1	1	1	1	1	1	1	1	1	1	10
Moyenne		0.933	0.896	0.689	0.862	0.931	0.7241	0.758	0.827	0.793	0.689	8.103448276
