Matricule	#1	#2	#3	#4	#5	#6	Note (/20)
?107234		3.0	3.25	2.85	1.75	2.9	2.65	16.4
?085764		3.4	3.35	2.75	2.75	2.4	2.6	17.25
?081857		2.5	2.25	2.25	0.5	2.3	1.65	11.45
?101338		4.0	2.7	3.0	3.0	2.8	2.9	18.4
?835945		3.65	2.1	2.0	1.25	2.45	0.75	12.2
?075447		3.5	2.85	2.75	3.0	3.0	3.0	18.1
?062976		1.75	1.5	1.0	0.5	1.75	0.0	6.5
?007803		2.4	1.5	2.0	2.25	2.25	0.65	11.05
?053307		3.75	3.0	2.25	2.75	2.1	3.0	16.85
?074801		2.9	2.0	2.0	1.4	2.25	2.35	12.9
?052923		2.25	1.5	1.5	0.5	1.25	0.5	7.5
?065143		3.4	1.0	2.5	2.0	3.0	2.0	13.9
?116135		2.75	1.0	1.5	1.25	1.15	0.9	8.55
?064947		3.25	3.5	2.35	2.0	2.4	2.0	15.5
?098086		3.5	3.1	2.5	1.75	2.5	2.7	16.05
?205936		2.25	1.5	2.0	1.5	2.25	1.7	11.2
?035275		1.75	1.25	1.5	1.25	0.3	0.0	6.05
Moyenne:	2.94	2.20	2.16	1.73	2.18	1.73	12.93
